instr.;opcode;dez;mnemonic;register;needs ea;read;write;addr.mode;H;N;Z;V;C;desc;category
LD;$9e;158;LDX;REG_X;;WORD;;DIRECT_WORD;-;a;a;0;-;X = M:M+1;Index/Stack Pointer Instructions
LD;$be;190;LDX;REG_X;;WORD;;EXTENDED_WORD;-;a;a;0;-;X = M:M+1;Index/Stack Pointer Instructions
LD;$8e;142;LDX;REG_X;;WORD;;IMMEDIATE_WORD;-;a;a;0;-;X = M:M+1;Index/Stack Pointer Instructions
LD;$ae;174;LDX;REG_X;;WORD;;INDEXED_WORD;-;a;a;0;-;X = M:M+1;Index/Stack Pointer Instructions
LD;$109e;4254;LDY;REG_Y;;WORD;;DIRECT_WORD;-;a;a;0;-;Y = M:M+1;Index/Stack Pointer Instructions
LD;$10be;4286;LDY;REG_Y;;WORD;;EXTENDED_WORD;-;a;a;0;-;Y = M:M+1;Index/Stack Pointer Instructions
LD;$108e;4238;LDY;REG_Y;;WORD;;IMMEDIATE_WORD;-;a;a;0;-;Y = M:M+1;Index/Stack Pointer Instructions
LD;$10ae;4270;LDY;REG_Y;;WORD;;INDEXED_WORD;-;a;a;0;-;Y = M:M+1;Index/Stack Pointer Instructions
LEA;$32;50;LEAS;REG_S;yes;;;INDEXED;-;-;-;-;-;S = EA;Index/Stack Pointer Instructions
LEA;$33;51;LEAU;REG_U;yes;;;INDEXED;-;-;-;-;-;U = EA;Index/Stack Pointer Instructions
LEA;$30;48;LEAX;REG_X;yes;;;INDEXED;-;-;a;-;-;X = EA;Index/Stack Pointer Instructions
LEA;$31;49;LEAY;REG_Y;yes;;;INDEXED;-;-;a;-;-;Y = EA;Index/Stack Pointer Instructions
LSL;$08;8;LSL;;yes;BYTE;BYTE;DIRECT;n;a;a;a;s;M = Logical shift M left;8-Bit Accumulator and Memory Instructions
LSL;$78;120;LSL;;yes;BYTE;BYTE;EXTENDED;n;a;a;a;s;M = Logical shift M left;8-Bit Accumulator and Memory Instructions
LSL;$68;104;LSL;;yes;BYTE;BYTE;INDEXED;n;a;a;a;s;M = Logical shift M left;8-Bit Accumulator and Memory Instructions
LSL;$48;72;LSLA;REG_A;;;;INHERENT;n;a;a;a;s;A = Logical shift A left;8-Bit Accumulator and Memory Instructions
LSL;$58;88;LSLB;REG_B;;;;INHERENT;n;a;a;a;s;B = Logical shift B left;8-Bit Accumulator and Memory Instructions
LSR;$04;4;LSR;;yes;BYTE;BYTE;DIRECT;-;0;a;-;s;M = Logical shift M right;8-Bit Accumulator and Memory Instructions
LSR;$74;116;LSR;;yes;BYTE;BYTE;EXTENDED;-;0;a;-;s;M = Logical shift M right;8-Bit Accumulator and Memory Instructions
LSR;$64;100;LSR;;yes;BYTE;BYTE;INDEXED;-;0;a;-;s;M = Logical shift M right;8-Bit Accumulator and Memory Instructions
LSR;$44;68;LSRA;REG_A;;;;INHERENT;-;0;a;-;s;A = Logical shift A right;8-Bit Accumulator and Memory Instructions
LSR;$54;84;LSRB;REG_B;;;;INHERENT;-;0;a;-;s;B = Logical shift B right;8-Bit Accumulator and Memory Instructions
MUL;$3d;61;MUL;;;;;INHERENT;-;-;a;-;a;D = A*B (Unsigned);8-Bit Accumulator and Memory Instructions
NEG;$00;0;NEG;;yes;BYTE;BYTE;DIRECT;u;a;a;a;a;M = !M + 1;8-Bit Accumulator and Memory Instructions
NEG;$70;112;NEG;;yes;BYTE;BYTE;EXTENDED;u;a;a;a;a;M = !M + 1;8-Bit Accumulator and Memory Instructions
NEG;$60;96;NEG;;yes;BYTE;BYTE;INDEXED;u;a;a;a;a;M = !M + 1;8-Bit Accumulator and Memory Instructions
NEG;$40;64;NEGA;REG_A;;;;INHERENT;u;a;a;a;a;A = !A + 1;8-Bit Accumulator and Memory Instructions
NEG;$50;80;NEGB;REG_B;;;;INHERENT;u;a;a;a;a;B = !B + 1;8-Bit Accumulator and Memory Instructions
NOP;$12;18;NOP;;;;;INHERENT;-;-;-;-;-;No Operation;Miscellaneous Instructions
OR;$9a;154;ORA;REG_A;;BYTE;;DIRECT;-;a;a;0;-;A = A || M;8-Bit Accumulator and Memory Instructions
OR;$ba;186;ORA;REG_A;;BYTE;;EXTENDED;-;a;a;0;-;A = A || M;8-Bit Accumulator and Memory Instructions
OR;$8a;138;ORA;REG_A;;BYTE;;IMMEDIATE;-;a;a;0;-;A = A || M;8-Bit Accumulator and Memory Instructions
OR;$aa;170;ORA;REG_A;;BYTE;;INDEXED;-;a;a;0;-;A = A || M;8-Bit Accumulator and Memory Instructions
OR;$da;218;ORB;REG_B;;BYTE;;DIRECT;-;a;a;0;-;B = B || M;8-Bit Accumulator and Memory Instructions
OR;$fa;250;ORB;REG_B;;BYTE;;EXTENDED;-;a;a;0;-;B = B || M;8-Bit Accumulator and Memory Instructions
OR;$ca;202;ORB;REG_B;;BYTE;;IMMEDIATE;-;a;a;0;-;B = B || M;8-Bit Accumulator and Memory Instructions
OR;$ea;234;ORB;REG_B;;BYTE;;INDEXED;-;a;a;0;-;B = B || M;8-Bit Accumulator and Memory Instructions
OR;$1a;26;ORCC;REG_CC;;BYTE;;IMMEDIATE;d;d;d;d;d;C = CC || IMM;Miscellaneous Instructions
PAGE;$10;16;PAGE 1;;;;;;+;+;+;+;+;Page 1 Instructions prefix;other
PAGE;$11;17;PAGE 2;;;;;;+;+;+;+;+;Page 2 Instructions prefix;other
PSH;$34;52;PSHS;REG_S;;BYTE;;IMMEDIATE;-;-;-;-;-;"S -= 1: MEM(S) = R; Push Register on S Stack";Index/Stack Pointer Instructions
PSH;$36;54;PSHU;REG_U;;BYTE;;IMMEDIATE;-;-;-;-;-;"U -= 1: MEM(U) = R; Push Register on U Stack";Index/Stack Pointer Instructions
