EORB;0;-aa0-;4;0xd8;B;DIRECT;EOR;2;EOR;R' = R XOR M
ADCB;0;aaaaa;4;0xd9;B;DIRECT;ADC;2;ADC;R' = R + M + C
ORB;0;-aa0-;4;0xda;B;DIRECT;OR;2;OR;R' = R OR M
ADDB;0;aaaaa;4;0xdb;B;DIRECT;ADD;2;ADD8;R' = R + M
SUBB;0;uaaaa;4;0xe0;B;INDEXED;SUB;2;SUB8;R' = R - M
CMPB;0;uaaaa;4;0xe1;B;INDEXED;CMP;2;CMP8;TEMP = R - M
SBCB;0;uaaaa;4;0xe2;B;INDEXED;SBC;2;SBC;R' = R - M - C
ANDB;0;-aa0-;4;0xe4;B;INDEXED;AND;2;AND;R' = R AND M
BITB;0;-aa0-;4;0xe5;B;INDEXED;BIT;2;BIT;TEMP = R AND M
LDB;0;-aa0-;4;0xe6;B;INDEXED;LD;2;LD8;R' = M
STB;0;-aa0-;4;0xe7;B;INDEXED;ST;2;ST8;M' = R
EORB;0;-aa0-;4;0xe8;B;INDEXED;EOR;2;EOR;R' = R XOR M
ADCB;0;aaaaa;4;0xe9;B;INDEXED;ADC;2;ADC;R' = R + M + C
ORB;0;-aa0-;4;0xea;B;INDEXED;OR;2;OR;R' = R OR M
ADDB;0;aaaaa;4;0xeb;B;INDEXED;ADD;2;ADD8;R' = R + M
SUBB;0;uaaaa;5;0xf0;B;EXTENDED;SUB;3;SUB8;R' = R - M
CMPB;0;uaaaa;5;0xf1;B;EXTENDED;CMP;3;CMP8;TEMP = R - M
SBCB;0;uaaaa;5;0xf2;B;EXTENDED;SBC;3;SBC;R' = R - M - C
ANDB;0;-aa0-;5;0xf4;B;EXTENDED;AND;3;AND;R' = R AND M
BITB;0;-aa0-;5;0xf5;B;EXTENDED;BIT;3;BIT;TEMP = R AND M
LDB;0;-aa0-;5;0xf6;B;EXTENDED;LD;3;LD8;R' = M
STB;0;-aa0-;5;0xf7;B;EXTENDED;ST;3;ST8;M' = R
EORB;0;-aa0-;5;0xf8;B;EXTENDED;EOR;3;EOR;R' = R XOR M
ADCB;0;aaaaa;5;0xf9;B;EXTENDED;ADC;3;ADC;R' = R + M + C
ORB;0;-aa0-;5;0xfa;B;EXTENDED;OR;3;OR;R' = R OR M
ADDB;0;aaaaa;5;0xfb;B;EXTENDED;ADD;3;ADD8;R' = R + M
SEX;1;-aa0-;2;0x1d;;INHERENT;SEX;1;SEX;If bit seven of ACCB is set then ACCA' = FF 16 else ACCA' = 00 16
SUBD;1;-aaaa;4;0x83;D;IMMEDIATE;SUB;3;SUB16;R' = R - M:M+1
SUBD;1;-aaaa;6;0x93;D;DIRECT;SUB;2;SUB16;R' = R - M:M+1
SUBD;1;-aaaa;6;0xa3;D;INDEXED;SUB;2;SUB16;R' = R - M:M+1
SUBD;1;-aaaa;7;0xb3;D;EXTENDED;SUB;3;SUB16;R' = R - M:M+1
ADDD;1;-aaaa;4;0xc3;D;IMMEDIATE;ADD;3;ADD16;R' = R + M:M+1
LDD;1;-aa0-;3;0xcc;D;IMMEDIATE;LD;3;LD16;R' = M:M+1
ADDD;1;-aaaa;6;0xd3;D;DIRECT;ADD;2;ADD16;R' = R + M:M+1
LDD;1;-aa0-;5;0xdc;D;DIRECT;LD;2;LD16;R' = M:M+1
STD;1;-aa0-;5;0xdd;D;DIRECT;ST;2;ST16;M':M+1' = R
ADDD;1;-aaaa;6;0xe3;D;INDEXED;ADD;2;ADD16;R' = R + M:M+1
LDD;1;-aa0-;5;0xec;D;INDEXED;LD;2;LD16;R' = M:M+1
STD;1;-aa0-;5;0xed;D;INDEXED;ST;2;ST16;M':M+1' = R
ADDD;1;-aaaa;7;0xf3;D;EXTENDED;ADD;3;ADD16;R' = R + M:M+1
LDD;1;-aa0-;6;0xfc;D;EXTENDED;LD;3;LD16;R' = M:M+1
STD;1;-aa0-;6;0xfd;D;EXTENDED;ST;3;ST16;M':M+1' = R
CMPD;1;-aaaa;5;0x1083;D;IMMEDIATE;CMP;4;CMP16;TEMP = R - M:M+1
CMPD;1;-aaaa;7;0x1093;D;DIRECT;CMP;3;CMP16;TEMP = R - M:M+1
CMPD;1;-aaaa;7;0x10a3;D;INDEXED;CMP;3;CMP16;TEMP = R - M:M+1
CMPD;1;-aaaa;8;0x10b3;D;EXTENDED;CMP;4;CMP16;TEMP = R - M:M+1
LEAX;2;--a--;4;0x30;X;INDEXED;LEA;2;LEA;R' = EA
LEAY;2;--a--;4;0x31;Y;INDEXED;LEA;2;LEA;R' = EA
LEAS;2;-----;4;0x32;S;INDEXED;LEA;2;LEA;R' = EA
LEAU;2;-----;4;0x33;U;INDEXED;LEA;2;LEA;R' = EA
PSHS;2;-----;5;0x34;S;IMMEDIATE;PSH;2;PSHS;IFF b7 of postbyte set, then: SP' = SP-1, (SP) = PCL SP' = SP-1, (SP) = PCH IFF b6 of postbyte set, then: SP' = SP-1, (SP) = USL SP' = SP-1, (SP) = USH IFF b5 of postbyte set, then: SP' = SP-1, (SP) = IYL SP' = SP-1, (SP) = IYH IFF b4 of postbyte set, then: SP' = SP-1, (SP) = IXL SP' = SP-1, (SP) = IXH IFF b3 of postbyte set, then: SP' = SP-1, (SP) = DPR IFF b2 of postbyte set, then: SP' = SP-1, (SP) = ACCB IFF b1 of postbyte set, then: SP' = SP-1, (SP) = ACCA IFF b0 of postbyte set, then: SP' = SP-1, (SP) = CCR
PULS;2;ccccc;5;0x35;S;IMMEDIATE;PUL;2;PULS;IFF b0 of postbyte set, then: CCR' = (SP), SP' = SP+1 IFF b1 of postbyte set, then: ACCA' = (SP), SP' = SP+1 IFF b2 of postbyte set, then: ACCB' = (SP), SP' = SP+1 IFF b3 of postbyte set, then: DPR' = (SP), SP'  = SP+1 IFF b4 of postbyte set, then: IXH' IXL' = (SP), SP' = SP+1 = (SP), SP' = SP+1 IFF b5 of postbyte set, then: IYH' IYL' = (SP), SP' = SP+1 = (SP), SP' = SP+1 IFF b6 of postbyte set, then: USH' USL' = (SP), SP' = SP+1 = (SP), SP' = SP+1 IFF b7 of postbyte set, then: PCH' PCL' = (SP), SP' = SP+1 = (SP), SP' = SP+1
